"id","product_search_description","meta_data","","","","","","","","","","","","","","","","",""
"15970","men apparel topwear shirts navy blue fall casual turtle check men navy blue shirt","{'id': 15970, 'name': 'Turtle Check Men Navy Blue Shirt', 'variant': 'Check', 'brand': 'Turtle', 'price': 1195, 'discounted_price': 1195, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg'}","","","","","","","","","","","","","","","","",""
"39386","men apparel bottomwear jeans blue summer casual peter england men party blue jeans","{'id': 39386, 'name': 'Peter England Men Party Blue Jeans', 'variant': 'Peter England Party Jeans', 'brand': 'Peter England', 'price': 1499, 'discounted_price': 1499, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg'}","","","","","","","","","","","","","","","","",""
"59263","women accessories watches watches silver winter casual titan women silver watch","{'id': 59263, 'name': 'Titan Women Silver Watch', 'variant': 'Titan Watches', 'brand': 'Titan', 'price': 6500, 'discounted_price': 6500, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg'}","","","","","","","","","","","","","","","","",""
"21379","men apparel bottomwear track pants black fall casual manchester united men solid black track pants","{'id': 21379, 'name': 'Manchester United Men Solid Black Track Pants', 'variant': 'Solid', 'brand': 'Manchester United', 'price': 1699, 'discounted_price': 1699, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg'}","","","","","","","","","","","","","","","","",""
"53759","men apparel topwear tshirts grey summer casual puma men grey t-shirt","{'id': 53759, 'name': 'Puma Men Grey T-shirt', 'variant': 'T-shirt', 'brand': 'Puma', 'price': 1099, 'discounted_price': 1099, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg'}","","","","","","","","","","","","","","","","",""
"1855","men apparel topwear tshirts grey summer casual inkfruit mens chain reaction t-shirt","{'id': 1855, 'name': 'Inkfruit Mens Chain Reaction T-shirt', 'variant': 'Chain Reaction', 'brand': 'Inkfruit', 'price': 499, 'discounted_price': 499, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg'}","","","","","","","","","","","","","","","","",""
"30805","men apparel topwear shirts green summer ethnic fabindia men striped green shirt","{'id': 30805, 'name': 'Fabindia Men Striped Green Shirt', 'variant': 'Stripes', 'brand': 'Fabindia', 'price': 630, 'discounted_price': 630, 'usage': 'Ethnic', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg'}","","","","","","","","","","","","","","","","",""
"26960","women apparel topwear shirts purple summer casual jealous 21 women purple shirt","{'id': 26960, 'name': 'Jealous 21 Women Purple Shirt', 'variant': 'Solid', 'brand': 'Jealous 21', 'price': 699, 'discounted_price': 699, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg'}","","","","","","","","","","","","","","","","",""
"29114","men accessories socks socks navy blue summer casual puma men pack of 3 socks","{'id': 29114, 'name': 'Puma Men Pack of 3 Socks', 'variant': 'Pack of 3', 'brand': 'Puma', 'price': 399, 'discounted_price': 399, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/4ca8848ab441378a392d9d5bf0b0f3c7_images.jpg'}","","","","","","","","","","","","","","","","",""
"30039","men accessories watches watches black winter casual skagen men black watch","{'id': 30039, 'name': 'Skagen Men Black Watch', 'variant': 'WIST', 'brand': 'SKAGEN', 'price': 8995, 'discounted_price': 8995, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Skagen-Men-Black-Watch_4982b2b1a76a85a85c9adc8b4b2d523a_images.jpg'}","","","","","","","","","","","","","","","","",""
